url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
30,0,0,612.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
40,0,0,515.7,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
27,0,0,842.4,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
55,0,0,751.5,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
21,0,0,377.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
72,0,0,385.2,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
25,0,0,581.4,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
41,0,0,610.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
65,0,0,837.0,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
52,0,1,651.6,0,-1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0
31,1,0,656.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
49,0,0,669.6,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
42,0,0,373.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
40,0,0,751.5,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
27,0,0,832.5,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0
21,0,0,843.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
30,0,0,362.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
22,0,0,725.4,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
42,0,0,668.7,0,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
32,0,0,818.1,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
34,1,0,583.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
24,0,0,580.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
21,0,0,530.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
24,0,0,496.8,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
29,1,0,0.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
31,0,0,806.4,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
24,0,0,644.4,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
26,0,0,542.7,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
46,0,0,612.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
24,0,0,768.6,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
26,0,0,814.5,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
47,0,0,700.2,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
28,0,0,369.9,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0
50,0,0,0.0,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
43,0,0,825.3,0,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
35,0,0,502.2,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
31,0,0,455.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
48,0,0,732.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
31,0,0,625.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,0,350.1,0,-1,0,1,1,0,0,0,12,0,0,0,0,0,1,0,0,0
27,0,0,0.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
22,0,0,706.5,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
37,0,0,681.3,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
67,0,0,353.7,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
47,0,0,359.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0
28,0,0,792.9,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
32,0,0,527.4,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
70,0,0,827.1,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0
33,1,0,441.9,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
23,0,0,341.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
35,0,0,648.9,1,-1,0,0,1,0,0,1,3,0,1,0,0,0,1,0,0,0
50,0,0,536.4,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
46,0,0,486.0,1,-1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
39,0,0,831.6,1,-1,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0
40,0,0,419.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
